Program	Sku/ProductFamily	Countries/Region	VPID	Month
YETI	2K4U8B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	9
YETI	2K4U8B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	9
YETI	2K4U9B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	2K4U9B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	2K4U9B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	2K4V8A	"AU,NZ"	ANZ_VP	6
YETI	2K4W1A	"AU,NZ"	ANZ_VP	6
YETI	2K4W2A	"AU,NZ"	ANZ_VP	6
YETI	223N6A	"AU,NZ"	ANZ_VP	6
YETI	223R1A	"US,PR,CA"	NA_VP	6
YETI	223R1A	"US,PR,CA"	NA_VP	6
YETI	223R2A	"US,PR,CA"	NA_VP	6
YETI	223R2A	"US,PR,CA"	NA_VP	6
YETI	223R3A	"US,PR,CA"	NA_VP	6
YETI	223R9A	"US,PR,CA"	NA_VP	6
YETI	223S0A	"US,PR,CA"	NA_VP	6
YETI	2K5K2A	"US,PR,CA"	NA_VP	6
YETI	2K5K3A	"US,PR,CA"	NA_VP	6
YETI	2K5K4A	"US,PR,CA"	NA_VP	6
YETI	2K5K5A	"US,PR,CA"	NA_VP	6
YETI	2K5K6A	"US,PR,CA"	NA_VP	6
YETI	2K5K7A	"US,PR,CA"	NA_VP	6
YETI	2K5K8A	"US,PR,CA"	NA_VP	6
YETI	2K5K9A	"US,PR,CA"	NA_VP	6
YETI	2K5L0A	"US,PR,CA"	NA_VP	6
YETI	2K5L1A	"US,PR,CA"	NA_VP	6
YETI	2K5L2A	"US,PR,CA"	NA_VP	6
YETI	2K5L3A	"US,PR,CA"	NA_VP	6
YETI	2K5L4A	"US,PR,CA"	NA_VP	6
YETI	223R4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R4B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R5B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R1B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R2B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R2B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R2B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	223R3B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	9
YETI	223R3B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	9
YETI	2K5L5A	"AU,NZ"	ANZ_VP	6
YETI	26K67A	"US,PR,CA"	NA_VP	6
YETI	26K68A	"US,PR,CA"	NA_VP	6
YETI	26K68A	"US,PR,CA"	NA_VP	6
YETI	26K68A	"US,PR,CA"	NA_VP	6
YETI	2A9Q2A	"US,PR,CA"	NA_VP	6
YETI	2A9Q3A	"US,PR,CA"	NA_VP	6
YETI	26K69A	"US,PR,CA"	NA_VP	6
YETI	26K70A	"US,PR,CA"	NA_VP	6
YETI	26K71A	"US,PR,CA"	NA_VP	6
YETI	26K69A	"US,PR,CA"	NA_VP	6
YETI	26K70A	"US,PR,CA"	NA_VP	6
YETI	26K71A	"US,PR,CA"	NA_VP	6
YETI	572Q6A	"US,PR,CA"	NA_VP	6
YETI	572Q7A	"US,PR,CA"	NA_VP	6
YETI	572Q8A	"US,PR,CA"	NA_VP	6
YETI	2A9Q4A	"US,PR,CA"	NA_VP	6
YETI	2A9Q5A	"US,PR,CA"	NA_VP	6
YETI	2A9Q6A	"US,PR,CA"	NA_VP	6
YETI	26K72A	"US,PR,CA"	NA_VP	6
YETI	26K73A	"US,PR,CA"	NA_VP	6
YETI	26K74A	"US,PR,CA"	NA_VP	6
YETI	2A9Q7A	"US,PR,CA"	NA_VP	6
YETI	2A9Q8A	"US,PR,CA"	NA_VP	6
YETI	2A9Q9A	"US,PR,CA"	NA_VP	6
YETI	26K67B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
YETI	26K67B	"AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK"	EMEA_VP	6
